date,N,E,filename,quantity,x,y
2021-08-11 10:19:14,,,G0015158.JPG,1,37.0,71.0
2021-08-11 10:19:15,,,G0015159.JPG,1,36.0,76.0
2021-08-11 10:19:16,,,G0015160.JPG,0,,
2021-08-11 10:19:17,,,G0015161.JPG,0,,
2021-08-11 10:19:18,,,G0015162.JPG,0,,
2021-08-11 10:19:19,,,G0015163.JPG,0,,
2021-08-11 10:19:20,,,G0015164.JPG,0,,
2021-08-11 10:19:21,,,G0015165.JPG,0,,
2021-08-11 10:19:22,,,G0015166.JPG,0,,
2021-08-11 10:19:23,,,G0015167.JPG,0,,
2021-08-11 10:19:24,,,G0015168.JPG,0,,
2021-08-11 10:19:25,,,G0015169.JPG,0,,
2021-08-11 10:19:26,,,G0015170.JPG,0,,
2021-08-11 10:19:27,,,G0015171.JPG,0,,
2021-08-11 10:19:28,,,G0015172.JPG,0,,
2021-08-11 10:19:29,,,G0015173.JPG,0,,
2021-08-11 10:19:30,,,G0015174.JPG,0,,
2021-08-11 10:19:31,,,G0015175.JPG,0,,
2021-08-11 10:19:32,51.484605999972224,157.0350846,G0015176.JPG,0,,
2021-08-11 10:19:33,51.4846292,157.03502779997223,G0015177.JPG,0,,
2021-08-11 10:19:34,51.48463859997222,157.0350276,G0015178.JPG,0,,
2021-08-11 10:19:35,51.48463019997222,157.03506219997223,G0015179.JPG,0,,
2021-08-11 10:19:36,51.48462839997222,157.0350754,G0015180.JPG,0,,
2021-08-11 10:19:37,51.4846264,157.03508109999999,G0015181.JPG,0,,
2021-08-11 10:19:38,51.4846177,157.0351051,G0015182.JPG,0,,
2021-08-11 10:19:39,51.48461869997222,157.0350942,G0015183.JPG,0,,
2021-08-11 10:19:40,51.4846202,157.0350831,G0015184.JPG,0,,
2021-08-11 10:19:41,51.484623599972224,157.03506369997223,G0015185.JPG,0,,
2021-08-11 10:19:42,51.484625399972224,157.0350529,G0015186.JPG,0,,
2021-08-11 10:19:43,51.4846305,157.03503219997222,G0015187.JPG,0,,
2021-08-11 10:19:44,51.4846306,157.03502699999999,G0015188.JPG,0,,
2021-08-11 10:19:45,51.4846311,157.03502009997223,G0015189.JPG,0,,
2021-08-11 10:19:46,51.4846318,157.0350175,G0015190.JPG,0,,
